timestamp,project,application,micro_application,title,description,steps,expected_result,actual_result,status,remarks,comments
2026-01-30 12:56:06,Hitachi Tower Track,Authentication,Login,Login Validation,Username textbox,Enter value in Username textbox,Username textbox should accept input,Entered value 'user@gmail.com' successfully,PASS,,
2026-01-30 12:56:07,Hitachi Tower Track,Authentication,Login,Login Validation,Password textbox,Enter value in Password textbox,Password textbox should accept input,Entered value '12345' successfully,PASS,,
2026-01-30 12:56:08,Hitachi Tower Track,Authentication,Login,Login Validation,Remember Me checkbox,Click on Remember Me checkbox,Remember Me checkbox should be clickable,Clicked on 'Remember Me checkbox' successfully,PASS,,
2026-01-30 12:56:09,Hitachi Tower Track,Authentication,Login,Login Validation,LOGIN button,Click on LOGIN button,LOGIN button should be clickable,Clicked on 'LOGIN button' successfully,PASS,,
2026-01-30 12:56:27,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,USA data point,Click on USA data point,USA data point should be clickable,Clicked on 'USA data point' successfully,PASS,,
2026-01-30 12:56:28,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,IRL data point,Click on IRL data point,IRL data point should be clickable,Clicked on 'IRL data point' successfully,PASS,,
2026-01-30 12:56:29,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Competitor filter,Click on Competitor filter,Competitor filter should be clickable,Clicked on 'Competitor filter' successfully,PASS,,
2026-01-30 12:56:30,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,ISG competitor checkbox,Click on ISG competitor checkbox,ISG competitor checkbox should be clickable,Clicked on 'ISG competitor checkbox' successfully,PASS,,
2026-01-30 12:56:31,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Search competitor,Click on Search competitor,Search competitor should be clickable,Clicked on 'Search competitor' successfully,PASS,,
2026-01-30 12:56:41,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,IRL data point,Click on IRL data point,IRL data point should be clickable,Clicked on 'IRL data point' successfully,PASS,,
2026-01-30 12:56:42,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,CHN data point,Click on CHN data point,CHN data point should be clickable,Clicked on 'CHN data point' successfully,PASS,,
2026-01-30 12:56:43,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Topic discovery dropdown,Select topic_discovery from Topic discovery dropdown,topic_discovery should be selectable,Selected 'topic_discovery' successfully,PASS,,
2026-01-30 12:56:44,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Chart expand,Click on Chart expand,Chart expand should be clickable,Clicked on 'Chart expand' successfully,PASS,,
2026-01-30 12:56:45,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Indicator dropdown,Select A34SNO from Indicator dropdown,A34SNO should be selectable,Selected 'A34SNO' successfully,PASS,,
2026-01-30 12:56:46,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Indicator expand,Click on Indicator expand,Indicator expand should be clickable,Clicked on 'Indicator expand' successfully,PASS,,
