timestamp,project,application,micro_application,title,description,steps,expected_result,actual_result,status,remarks,comments
2026-01-29 16:30:26,Tower Track,,,,Username textbox,Enter value in Username textbox,Username textbox should accept input,Entered value: user@gmail.com,PASS,,
2026-01-29 16:30:28,Tower Track,,,,Password textbox,Enter value in Password textbox,Password textbox should accept input,Entered value: 12345,PASS,,
2026-01-29 16:30:29,Tower Track,,,,Remember Me checkbox,Click on Remember Me checkbox,Remember Me checkbox should be clickable,Clicked successfully,PASS,,
2026-01-29 16:30:30,Tower Track,,,,LOGIN button,Click on LOGIN button,LOGIN button should be clickable,Clicked successfully,PASS,,
2026-01-29 16:31:06,Tower Track,Demand Insights,Market Intelligence,Demand Insights Validation,USA data point,Click on USA data point,USA data point should be clickable,Clicked successfully,PASS,,
2026-01-29 16:31:07,Tower Track,Demand Insights,Market Intelligence,Demand Insights Validation,IRL data point,Click on IRL data point,IRL data point should be clickable,Clicked successfully,PASS,,
2026-01-29 16:31:08,Tower Track,Demand Insights,Market Intelligence,Demand Insights Validation,Competitor filter,Click on Competitor filter,Competitor filter should be clickable,Clicked successfully,PASS,,
2026-01-29 16:31:09,Tower Track,Demand Insights,Market Intelligence,Demand Insights Validation,ISG competitor checkbox,Click on ISG competitor checkbox,ISG competitor checkbox should be clickable,Clicked successfully,PASS,,
2026-01-29 16:31:10,Tower Track,Demand Insights,Market Intelligence,Demand Insights Validation,Search competitor,Click on Search competitor,Search competitor should be clickable,Clicked successfully,PASS,,
2026-01-29 16:31:17,Tower Track,Demand Insights,Market Intelligence,Demand Insights Validation,IRL data point,Click on IRL data point,IRL data point should be clickable,"Locator.click: Target page, context or browser has been closed
Call log:
  - waiting for get_by_role(""img"", name=re.compile(r""IRL, z:""))
",FAIL,,
