timestamp,project,application,micro_application,title,description,steps,expected_result,actual_result,status,remarks,comments
2026-01-30 14:05:37,Hitachi Tower Track,Authentication,Login,Login Validation,Username textbox,Enter value in Username textbox,Username textbox should accept input,Entered value 'user@gmail.com' successfully,PASS,,
2026-01-30 14:05:38,Hitachi Tower Track,Authentication,Login,Login Validation,Password textbox,Enter value in Password textbox,Password textbox should accept input,Entered value '12345' successfully,PASS,,
2026-01-30 14:05:39,Hitachi Tower Track,Authentication,Login,Login Validation,Remember Me checkbox,Click on Remember Me checkbox,Remember Me checkbox should be clickable,Clicked on 'Remember Me checkbox' successfully,PASS,,
2026-01-30 14:05:41,Hitachi Tower Track,Authentication,Login,Login Validation,LOGIN button,Click on LOGIN button,LOGIN button should be clickable,Clicked on 'LOGIN button' successfully,PASS,,
2026-01-30 14:06:20,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,USA data point,Click on USA data point,USA data point should be clickable,Clicked on 'USA data point' successfully,PASS,,
2026-01-30 14:06:22,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,IRL data point,Click on IRL data point,IRL data point should be clickable,Clicked on 'IRL data point' successfully,PASS,,
2026-01-30 14:06:23,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Competitor filter,Click on Competitor filter,Competitor filter should be clickable,Clicked on 'Competitor filter' successfully,PASS,,
2026-01-30 14:06:24,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,ISG competitor checkbox,Click on ISG competitor checkbox,ISG competitor checkbox should be clickable,Clicked on 'ISG competitor checkbox' successfully,PASS,,
2026-01-30 14:06:25,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Search competitor,Click on Search competitor,Search competitor should be clickable,Clicked on 'Search competitor' successfully,PASS,,
2026-01-30 14:06:46,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,IRL data point,Click on IRL data point,IRL data point should be clickable,Clicked on 'IRL data point' successfully,PASS,,
2026-01-30 14:06:47,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,CHN data point,Click on CHN data point,CHN data point should be clickable,Clicked on 'CHN data point' successfully,PASS,,
2026-01-30 14:06:49,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Topic discovery dropdown,Select topic_discovery from Topic discovery dropdown,topic_discovery should be selectable,Selected 'topic_discovery' successfully,PASS,,
2026-01-30 14:06:50,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Chart expand,Click on Chart expand,Chart expand should be clickable,Clicked on 'Chart expand' successfully,PASS,,
2026-01-30 14:06:51,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Indicator dropdown,Select A34SNO from Indicator dropdown,A34SNO should be selectable,Selected 'A34SNO' successfully,PASS,,
2026-01-30 14:06:52,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Indicator expand,Click on Indicator expand,Indicator expand should be clickable,Clicked on 'Indicator expand' successfully,PASS,,
2026-01-30 14:06:53,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Date point Mar 2020,Click on Date point Mar 2020,Date point Mar 2020 should be clickable,Clicked on 'Date point Mar 2020' successfully,PASS,,
2026-01-30 14:06:54,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Date point Nov 2022,Click on Date point Nov 2022,Date point Nov 2022 should be clickable,Clicked on 'Date point Nov 2022' successfully,PASS,,
2026-01-30 14:06:55,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Apply date filter,Click on Apply date filter,Apply date filter should be clickable,Clicked on 'Apply date filter' successfully,PASS,,
2026-01-30 14:06:56,Hitachi Tower Track,Demand Insights,Market Intelligence,Demand Insights End-to-End Validation,Sector dropdown,Select health from Sector dropdown,health should be selectable,Selected 'health' successfully,PASS,,
